year,athlete_id,race_id,round,heat,time,avg_km_h,rank,result,record,host_country,venue
2016,1,101,Qualifying,1,"9,551","75,384",1,Q,OR,Brazil,Rio Olympic Velodrome
2016,2,103,Qualifying,1,"9,703","74,203",2,Q,N,Brazil,Rio Olympic Velodrome
2016,3,72,Qualifying,1,"9,704","74,196",3,Q,N,Brazil,Rio Olympic Velodrome
2016,4,143,Qualifying,1,"9,774","73,664",4,Q,N,Brazil,Rio Olympic Velodrome
2016,5,94,Qualifying,1,"9,807","73,416",5,Q,N,Brazil,Rio Olympic Velodrome
2016,6,151,Qualifying,1,"9,813","73,372",6,Q,N,Brazil,Rio Olympic Velodrome
2016,7,142,Qualifying,1,"9,823","73,297",7,Q,N,Brazil,Rio Olympic Velodrome
2016,8,128,Qualifying,1,"9,837","73,193",8,Q,N,Brazil,Rio Olympic Velodrome
2016,9,137,Qualifying,1,"9,88","72,874",9,Q,N,Brazil,Rio Olympic Velodrome
2016,10,133,Qualifying,1,"9,895","72,764",10,Q,N,Brazil,Rio Olympic Velodrome
2016,11,96,Qualifying,1,"9,898","72,741",11,Q,N,Brazil,Rio Olympic Velodrome
2016,12,106,Qualifying,1,"9,908","72,668",12,Q,N,Brazil,Rio Olympic Velodrome
2016,13,84,Qualifying,1,"9,939","72,441",13,Q,N,Brazil,Rio Olympic Velodrome
2016,14,88,Qualifying,1,"9,969","72,223",14,Q,N,Brazil,Rio Olympic Velodrome
2016,15,141,Qualifying,1,"9,98","72,144",15,Q,N,Brazil,Rio Olympic Velodrome
2016,16,86,Qualifying,1,"9,981","72,137",16,Q,N,Brazil,Rio Olympic Velodrome
2016,17,71,Qualifying,1,"10,01","71,928",17,Q,N,Brazil,Rio Olympic Velodrome
2016,18,108,Qualifying,1,"10,035","71,748",18,Q,N,Brazil,Rio Olympic Velodrome
2016,19,93,Qualifying,1,"10,055","71,606",19,N,N,Brazil,Rio Olympic Velodrome
2016,20,123,Qualifying,1,"10,092","71,343",20,N,N,Brazil,Rio Olympic Velodrome
